sample_id,npz_path,title,ese_path,course,duration_frames,clipped,parsed_note_count,manifest_note_count,combo
000795_r886,data\cache\encoder_v1\000795_r886.npz,夢色コースター,D:\taiko\ESE-master\ese\09 Namco Original\Yumeiro Coaster\Yumeiro Coaster.tja,Oni,3160,False,728,728,728
000704_r778,data\cache\encoder_v1\000704_r778.npz,爆裂タウマゼイン (Prod. チバニャン),D:\taiko\ESE-master\ese\05 Variety\Bakuretsu Thaumazein (Prod. Chibanyan)\Bakuretsu Thaumazein (Prod. Chibanyan).tja,Oni,3131,False,827,827,827
001037_r1158,data\cache\encoder_v1\001037_r1158.npz,神っぽいな,D:\taiko\ESE-master\ese\03 Vocaloid\God-ish\God-ish.tja,Oni,2258,False,468,468,468
000580_r640,data\cache\encoder_v1\000580_r640.npz,泥の分際で私だけの大切を奪おうだなんて,D:\taiko\ESE-master\ese\01 Pop\Doro no Bunzai de Watashi Dake no Taisetsu o Ubaouda Nante\Doro no Bunzai de Watashi Dake no Taisetsu o Ubaouda Nante.tja,Oni,2827,False,770,770,770
000470_r514,data\cache\encoder_v1\000470_r514.npz,Wish upon a shooting star,D:\taiko\ESE-master\ese\07 Game Music\Wish upon a shooting star\Wish upon a shooting star.tja,Oni,3110,False,618,618,618
001234_r1377,data\cache\encoder_v1\001234_r1377.npz,I wonder,D:\taiko\ESE-master\ese\01 Pop\I wonder\I wonder.tja,Oni,2069,False,275,275,275
000499_r544,data\cache\encoder_v1\000499_r544.npz,食らいむ！まうんとぱふぇ,D:\taiko\ESE-master\ese\09 Namco Original\Climb! Mount Parfait\Climb! Mount Parfait.tja,Oni,2558,False,765,765,765
001059_r1181,data\cache\encoder_v1\001059_r1181.npz,第ゼロ感,D:\taiko\ESE-master\ese\02 Anime\Daizerokan\Daizerokan.tja,Oni,2138,False,423,423,423
000447_r489,data\cache\encoder_v1\000447_r489.npz,ギガンティックO.T.N,D:\taiko\ESE-master\ese\03 Vocaloid\Gigantic O.T.N\Gigantic O.T.N..tja,Oni,2844,False,889,889,889
001111_r1240,data\cache\encoder_v1\001111_r1240.npz,やわらか戦車,D:\taiko\ESE-master\ese\05 Variety\Yawaraka Sensha\Yawaraka Sensha.tja,Oni,2241,False,488,488,488
000141_r155,data\cache\encoder_v1\000141_r155.npz,ナイトメア・サバイバー(裏),D:\taiko\ESE-master\ese\09 Namco Original\Nightmare Survivor\Nightmare Survivor.tja,Edit,2483,False,876,876,876
000667_r737,data\cache\encoder_v1\000667_r737.npz,わすれなぐさ,D:\taiko\ESE-master\ese\09 Namco Original\Wasurenagusa\Wasurenagusa.tja,Oni,2069,False,474,474,474
001238_r1382,data\cache\encoder_v1\001238_r1382.npz,ココロ転がせっ！,D:\taiko\ESE-master\ese\01 Pop\Kokoro Korogase!\Kokoro Korogase!.tja,Oni,1846,False,285,285,285
000897_r1002,data\cache\encoder_v1\000897_r1002.npz,ファンタジーゾーン OPA-OPA！ ‐ GMT remix ‐,D:\taiko\ESE-master\ese\07 Game Music\Fantasy Zone OPA-OPA! -GMT Remix-\Fantasy Zone OPA-OPA! -GMT Remix-.tja,Oni,2513,False,537,537,537
000398_r433,data\cache\encoder_v1\000398_r433.npz,トッカータとフーガとロック,D:\taiko\ESE-master\ese\06 Classical\Toccata and Fugue and Rock\Toccata and Fugue and Rock.tja,Oni,3191,False,804,804,804
000589_r650,data\cache\encoder_v1\000589_r650.npz,撥条少女時計,D:\taiko\ESE-master\ese\03 Vocaloid\Zenmai Shoujo-dokei\Zenmai Shoujo-dokei.tja,Oni,2980,False,647,647,647
000159_r173,data\cache\encoder_v1\000159_r173.npz,ドドドドドンだフル！(裏),D:\taiko\ESE-master\ese\09 Namco Original\Dodododo-Donderful!\Dodododo-donderful!.tja,Edit,2456,False,889,889,889
001051_r1173,data\cache\encoder_v1\001051_r1173.npz,ラッスンゴレライ,D:\taiko\ESE-master\ese\05 Variety\Lassen Gorelai\Lassen Gorelai.tja,Oni,2725,False,556,556,556
000100_r110,data\cache\encoder_v1\000100_r110.npz,8OROCHI(裏),D:\taiko\ESE-master\ese\09 Namco Original\8OROCHI\8OROCHI.tja,Edit,2936,False,1001,1001,1001
001011_r1129,data\cache\encoder_v1\001011_r1129.npz,オールナイトdeインデナイ,D:\taiko\ESE-master\ese\09 Namco Original\All Night de Indenai\All Night de Indenai.tja,Oni,3161,False,555,555,555
000483_r528,data\cache\encoder_v1\000483_r528.npz,秋竜 ～Shiuryu～,D:\taiko\ESE-master\ese\09 Namco Original\Dragon of Autumn Shiuryu\Dragon of Autumn Shiuryu.tja,Oni,2803,False,750,750,750
000582_r642,data\cache\encoder_v1\000582_r642.npz,Rat A Tat!!!(裏),D:\taiko\ESE-master\ese\07 Game Music\Rat A Tat\Rat A Tat.tja,Edit,1953,False,567,567,567
000347_r382,data\cache\encoder_v1\000347_r382.npz,Clotho クロートー,D:\taiko\ESE-master\ese\09 Namco Original\Clotho\Clotho.tja,Oni,2488,False,983,983,983
000127_r137,data\cache\encoder_v1\000127_r137.npz,重金属フューギティブ,D:\taiko\ESE-master\ese\03 Vocaloid\Juukinzou Fugitive\Juukinzou Fugitive.tja,Oni,2156,False,653,653,653
000742_r820,data\cache\encoder_v1\000742_r820.npz,僕らは今のなかで,D:\taiko\ESE-master\ese\02 Anime\Bokura wa Ima no Naka de\Bokura wa Ima no Naka de.tja,Oni,1874,False,463,463,463
000655_r723,data\cache\encoder_v1\000655_r723.npz,女神な世界 Ⅲ,D:\taiko\ESE-master\ese\09 Namco Original\Megamina Sekai III\Megamina Sekai III.tja,Oni,3088,False,678,678,678
000857_r954,data\cache\encoder_v1\000857_r954.npz,愛包ダンスホール,D:\taiko\ESE-master\ese\01 Pop\Aipai Dance Hall\Aipai Dance Hall.tja,Oni,3007,False,676,676,676
000610_r674,data\cache\encoder_v1\000610_r674.npz,おはようメルちゃん(裏),D:\taiko\ESE-master\ese\04 Children and Folk\Ohayou Mell-chan\Ohayou Mell-chan.tja,Edit,1939,False,566,566,566
000272_r304,data\cache\encoder_v1\000272_r304.npz,星屑ストラック,D:\taiko\ESE-master\ese\09 Namco Original\Hoshikuzu Struck\Hoshikuzu Struck.tja,Oni,2632,False,711,711,711
000264_r296,data\cache\encoder_v1\000264_r296.npz,Angel Halo,D:\taiko\ESE-master\ese\07 Game Music\Angel Halo\Angel Halo.tja,Oni,2609,False,898,898,898
001255_r1400,data\cache\encoder_v1\001255_r1400.npz,今,D:\taiko\ESE-master\ese\01 Pop\Ima\Ima.tja,Oni,2949,False,323,323,323
000923_r1029,data\cache\encoder_v1\000923_r1029.npz,オフ♨ロック,D:\taiko\ESE-master\ese\09 Namco Original\Off Rock\Off Rock.tja,Oni,2497,False,594,594,594
000800_r891,data\cache\encoder_v1\000800_r891.npz,まいにちがドンダフル,D:\taiko\ESE-master\ese\09 Namco Original\Donderful Everyday\Donderful Everyday.tja,Oni,3185,False,595,595,595
000819_r911,data\cache\encoder_v1\000819_r911.npz,おしえて　くまとも,"D:\taiko\ESE-master\ese\07 Game Music\Oshiete, Kuma Tomo\Oshiete, Kuma Tomo.tja",Oni,3064,False,665,665,665
000166_r180,data\cache\encoder_v1\000166_r180.npz,Re ： End of a Dream(裏),D:\taiko\ESE-master\ese\05 Variety\Re：End of a Dream\Re End of a Dream.tja,Edit,3029,False,999,999,999
000394_r429,data\cache\encoder_v1\000394_r429.npz,Solitude Star,D:\taiko\ESE-master\ese\09 Namco Original\Solitude Star\Solitude Star.tja,Oni,2963,False,766,766,766
001132_r1262,data\cache\encoder_v1\001132_r1262.npz,8月の坂,D:\taiko\ESE-master\ese\01 Pop\Hachigatsu no Saka\Hachigatsu no Saka.tja,Oni,2029,False,291,291,291
000045_r52,data\cache\encoder_v1\000045_r52.npz,スーハー2000,D:\taiko\ESE-master\ese\09 Namco Original\Suuhaa 2000\Suuhaa 2000.tja,Oni,2650,False,668,668,668
000474_r518,data\cache\encoder_v1\000474_r518.npz,junction,D:\taiko\ESE-master\ese\09 Namco Original\junction\junction.tja,Oni,2279,False,604,604,604
000404_r439,data\cache\encoder_v1\000404_r439.npz,Heaven’s Rider,D:\taiko\ESE-master\ese\09 Namco Original\Heavens Rider\Heavens Rider.tja,Oni,2723,False,714,714,714
000744_r822,data\cache\encoder_v1\000744_r822.npz,ボクらのまえに道はある,D:\taiko\ESE-master\ese\09 Namco Original\Bokura no Mae ni Michi wa Aru\Bokura no Mae ni Michi wa Aru.tja,Oni,2920,False,682,682,682
